46	57	45	36	33	38	39	32	31	31	43	49	59	45	38	60	44	41	24	36	35	55	24	47	24	43	40	44	43	39	31	34	45	53	58	40	48	30	33	34	42	40	37	43	43	50	33	44	25	39	46	29	48	36	90	35	33	48	35	23	31	43	37	38	50	36	33	34	32	32	33	50	32	45	33	58	47	38	40	51	51	41	26	45	34	35	52	38	33	57	30	39	52	65	19	32	42	41	36	31	38	43	34	40	51	43	47	47	37	41	42	66	47	43	45	37	28	30	43	32	50	47	61	41	75	33	43	32	54	43	36	19	47	31	40	40	42	48	43	41	51	53	42	41	29	48	31	44	30	47	23	56	43	31	54	30	48	21	30	39	41	47	25	25	41	24	33	36	37	47	41	41	46	34	29	30	39	32	25	32	26	43	31	35	40	39	54	45	34	38	24	41	55	36	50	35	22	51	103	43
46	59	44	46	50	32	30	32	31	30	25	48	50	64	50	60	38	44	24	30	35	33	32	62	25	43	30	28	45	33	27	39	35	53	53	44	31	23	23	44	39	32	36	44	44	56	25	47	46	32	43	34	48	36	45	29	44	49	38	36	32	44	49	42	64	39	34	35	32	43	40	51	37	42	35	57	47	30	54	65	51	41	27	44	34	35	45	29	49	57	35	39	51	55	40	27	41	43	43	30	30	48	44	35	42	65	43	44	46	37	48	48	37	33	40	33	26	28	51	23	50	48	54	41	47	33	54	34	53	41	33	41	45	45	44	30	49	48	42	44	35	57	42	42	30	36	31	43	38	46	37	58	51	23	52	55	45	20	24	51	38	31	26	25	50	25	30	36	31	47	35	45	56	32	21	28	34	32	45	33	30	32	35	31	23	41	83	56	35	39	23	37	46	44	41	29	32	57	43	34
35	51	41	32	50	40	27	29	32	47	25	48	48	67	27	38	33	44	27	32	24	28	32	57	25	49	29	40	44	43	27	39	28	44	53	45	50	24	23	36	34	32	36	41	40	24	38	45	35	25	46	42	38	34	43	28	37	53	45	36	32	44	40	41	59	38	35	40	24	56	46	51	37	42	33	48	48	29	37	59	51	41	30	47	34	35	55	37	43	54	35	39	33	56	40	25	22	26	44	28	30	46	44	23	42	54	24	42	46	35	27	50	37	39	43	40	20	37	38	31	52	49	42	32	33	32	33	32	46	45	32	41	52	35	45	34	52	48	42	47	36	54	41	44	20	34	34	46	30	33	44	57	51	24	52	57	44	31	31	44	44	27	35	46	41	30	32	35	34	47	33	57	56	37	21	27	31	35	36	25	31	39	34	31	33	48	27	56	33	38	28	41	37	36	36	21	41	50	41	32
45	58	37	42	34	42	32	29	31	54	25	48	49	43	29	49	32	45	25	35	26	30	31	50	25	52	31	39	36	46	31	39	30	45	52	45	27	29	20	42	32	32	36	41	24	33	24	42	34	26	26	34	43	40	42	27	37	54	45	36	32	44	21	35	52	44	31	39	32	41	37	36	37	42	35	37	50	33	37	59	51	34	27	46	34	35	51	31	44	58	35	39	43	43	39	23	31	26	43	28	30	44	40	34	42	35	34	37	57	42	32	44	34	31	43	40	18	46	47	26	47	49	38	41	33	32	54	35	46	44	32	32	44	36	53	42	48	48	44	46	35	57	44	50	23	39	34	36	38	36	35	56	49	36	42	51	42	23	22	45	53	27	31	33	41	43	47	35	34	48	29	48	56	37	21	31	31	52	28	25	38	47	34	31	32	47	31	48	33	35	27	41	38	42	36	21	29	33	44	32
34	54	33	35	51	42	33	31	31	52	25	48	50	61	28	58	41	45	31	40	24	30	23	42	28	33	35	40	37	37	25	39	31	58	52	45	31	29	24	46	31	32	36	41	25	42	29	31	50	23	34	34	31	41	42	26	29	30	45	36	32	44	25	35	46	35	31	48	48	33	34	44	37	42	33	44	47	29	37	59	51	40	27	49	34	35	50	32	26	65	35	40	43	51	39	34	22	49	47	28	31	34	40	34	38	27	29	37	57	43	31	51	38	40	49	40	18	46	50	26	49	47	34	31	33	32	54	35	45	52	32	41	40	36	45	44	51	48	35	36	38	54	29	42	25	40	24	44	38	35	34	37	31	36	47	57	37	22	21	41	44	31	31	33	42	45	46	35	32	46	31	54	56	37	28	31	28	27	34	25	35	47	34	31	35	63	43	37	24	31	28	41	42	42	35	31	31	33	43	32
34	60	27	35	51	42	32	47	31	47	25	48	41	48	28	52	40	25	30	39	25	38	37	41	24	42	30	40	37	44	30	37	34	58	52	45	34	29	27	40	36	32	36	41	25	42	36	28	50	23	34	31	38	48	42	24	33	35	45	36	32	44	32	31	43	43	25	39	57	29	36	43	37	42	32	42	46	24	37	59	51	35	27	47	34	35	46	32	27	61	35	40	43	44	38	36	22	49	41	28	36	24	39	47	38	34	29	43	57	37	32	51	43	41	49	40	18	46	48	24	40	58	34	31	33	32	54	35	40	52	32	32	40	36	48	44	51	47	34	32	29	53	34	29	25	44	24	41	38	42	53	37	31	36	44	57	46	24	29	41	48	38	22	33	22	45	43	35	43	46	29	33	56	37	28	31	34	33	34	29	34	45	34	26	25	54	41	32	37	31	27	32	43	49	35	25	36	33	63	25
36	51	24	25	51	42	39	47	37	28	25	48	41	69	33	58	46	25	31	45	25	38	25	48	32	41	30	40	37	44	53	37	32	58	52	45	44	29	26	34	24	32	36	41	26	38	33	34	50	23	30	27	44	42	43	33	39	28	45	36	32	44	28	37	32	31	25	39	52	27	34	44	37	42	32	39	46	29	37	59	51	35	27	46	34	35	37	32	39	61	49	40	50	44	37	30	26	26	43	28	36	25	41	47	38	35	29	33	57	33	32	42	38	43	43	40	18	46	39	24	40	58	34	48	33	32	54	35	33	52	32	41	40	36	48	33	51	47	32	30	22	38	42	36	25	45	32	41	38	39	53	37	31	36	48	57	48	31	29	41	45	38	35	49	32	46	47	35	43	46	26	33	56	37	28	31	32	28	39	29	30	45	33	26	35	52	43	32	52	30	25	25	42	51	36	32	36	34	56	31
38	56	31	31	51	42	39	47	35	42	25	48	41	69	37	48	46	25	33	36	25	38	43	43	36	41	30	40	37	44	55	37	35	66	52	45	40	29	37	28	31	28	36	41	26	48	25	23	50	23	30	37	32	41	43	39	47	38	45	36	32	44	31	45	40	28	25	39	46	25	34	44	37	42	35	47	51	28	37	59	51	35	27	54	34	35	44	22	44	49	49	44	36	55	37	30	35	38	39	21	34	21	41	47	38	28	29	42	43	49	35	42	45	36	49	40	18	46	47	46	40	58	43	33	33	32	54	35	33	52	32	32	40	36	53	47	51	47	29	39	26	34	45	35	27	37	39	38	32	39	53	37	31	36	43	56	27	24	29	41	45	30	26	46	36	48	46	35	43	46	30	37	56	37	28	31	30	29	37	37	48	33	37	26	42	59	47	32	60	31	30	26	48	49	35	32	37	32	55	28
32	35	27	21	50	36	39	47	35	42	25	48	41	69	29	50	46	25	28	39	25	29	38	33	34	41	30	35	33	44	55	37	43	66	52	45	44	29	36	32	31	28	36	41	27	35	44	18	50	23	31	33	37	43	43	37	47	45	45	36	32	44	31	28	38	34	25	39	42	21	34	42	37	42	33	56	48	19	37	59	51	35	29	51	34	35	44	22	39	49	49	44	47	62	37	30	26	44	44	36	39	19	26	53	41	26	29	45	43	45	33	43	44	32	49	40	18	46	44	56	40	58	37	33	33	32	54	35	33	52	32	41	40	36	48	47	51	47	22	39	33	34	42	35	28	43	38	35	32	45	53	37	49	36	44	56	25	36	29	41	44	27	26	46	35	36	43	35	43	46	42	32	56	37	28	31	29	29	40	36	49	34	46	26	42	50	42	47	60	31	23	37	51	47	35	23	37	42	55	19
36	39	25	23	49	45	39	39	35	46	25	48	41	69	39	38	46	25	32	39	27	35	39	36	27	40	30	35	30	37	48	45	39	63	52	45	40	29	36	27	23	37	36	41	28	42	44	11	50	23	31	29	39	36	43	34	48	45	45	36	32	44	24	37	29	31	24	40	41	19	33	40	37	42	30	37	50	16	37	59	51	27	27	51	34	35	42	21	39	49	49	42	36	53	37	30	26	44	47	36	42	22	28	47	40	24	30	45	44	44	31	56	39	35	43	40	18	46	38	56	40	58	37	33	33	32	54	35	33	42	32	32	40	36	48	47	51	47	23	42	33	34	40	31	25	43	34	23	32	44	53	37	31	36	41	57	22	36	21	41	54	33	26	46	29	42	47	35	43	46	26	33	56	37	28	31	40	30	37	35	49	39	54	26	42	54	27	46	60	31	39	31	42	53	34	32	33	47	53	22
